GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
laurence-ims,default,Runner,14,0,0,0,5,0,3,0,3,0
laurence-ims,default,Ims,132,0,15,0,41,0,15,0,4,0
laurence-ims,Utils,DBUtil,78,0,18,0,22,0,13,0,4,0
laurence-ims,Utils,Utils,8,0,0,0,2,0,1,0,1,0
laurence-ims,domain,Customer,127,106,19,13,36,29,24,7,10,5
laurence-ims,domain,OrderLine,74,0,0,0,23,0,11,0,11,0
laurence-ims,domain,Items,84,0,0,0,29,0,13,0,13,0
laurence-ims,domain,Order,123,0,0,0,38,0,16,0,16,0
laurence-ims,com.qa.ims,Config,3,0,0,0,1,0,1,0,1,0
laurence-ims,com.qa.services,OrderService,31,0,0,0,10,0,7,0,7,0
laurence-ims,com.qa.services,ItemsService,29,0,0,0,9,0,6,0,6,0
laurence-ims,com.qa.services,CustomerService,29,0,0,0,9,0,6,0,6,0
laurence-ims,com.qa.controller,OrderController,198,0,6,0,51,0,10,0,7,0
laurence-ims,com.qa.controller,CustomerController,2,113,0,2,1,31,1,7,1,6
laurence-ims,com.qa.controller,ItemsController,109,0,2,0,30,0,8,0,7,0
laurence-ims,com.qa.controller,Action,116,0,2,0,20,0,6,0,5,0
laurence-ims,com.qa.persistence,MYsqlCustomerDao,204,0,6,0,62,0,10,0,7,0
laurence-ims,com.qa.persistence,Domain,105,0,2,0,19,0,6,0,5,0
laurence-ims,com.qa.persistence,MYsqlItemsDao,177,0,4,0,54,0,9,0,7,0
laurence-ims,com.qa.persistence,MysqlOrderLineDao,116,0,2,0,32,0,8,0,7,0
laurence-ims,com.qa.persistence,MysqlOrdersDao,548,0,20,0,160,0,23,0,13,0
